from,to
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,183
1,3
2,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,22
1,4
2,4
3,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
4,20
1,5
2,5
3,5
4,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
5,20
1,6
2,6
3,6
4,6
5,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
1,7
2,7
3,7
4,7
5,7
6,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
1,8
2,8
3,8
4,8
5,8
6,8
7,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13
12,13
13,14
13,15
13,16
13,17
13,18
13,19
13,20
1,14
2,14
3,14
4,14
5,14
6,14
7,14
8,14
9,14
10,14
11,14
12,14
13,14
14,15
14,16
14,17
14,18
14,19
14,20
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,16
15,17
15,18
15,19
15,20
1,16
2,16
3,16
4,16
5,16
6,16
7,16
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,17
16,18
16,19
16,20
1,17
2,17
3,17
4,17
5,17
6,17
7,17
8,17
9,17
10,17
11,17
12,17
13,17
14,17
15,17
16,17
17,18
17,19
17,20
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,19
18,20
1,19
2,19
3,19
4,19
5,19
6,19
7,19
8,19
9,19
10,19
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
19,20
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,33
21,34
21,35
21,36
21,37
21,38
21,39
21,40
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,31
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,39
22,40
3,22
21,23
22,23
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
23,40
23,42
21,24
22,24
23,24
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,37
24,38
24,39
24,40
21,25
22,25
23,25
24,25
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,37
25,38
25,39
25,40
21,26
22,26
23,26
24,26
25,26
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
26,38
26,39
26,40
21,27
22,27
23,27
24,27
25,27
26,27
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,38
27,39
27,40
21,28
22,28
23,28
24,28
25,28
26,28
27,28
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
28,37
28,38
28,39
28,40
21,29
22,29
23,29
24,29
25,29
26,29
27,29
28,29
29,30
29,31
29,32
29,33
29,34
29,35
29,36
29,37
29,38
29,39
29,40
21,30
22,30
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,39
30,40
21,31
22,31
23,31
24,31
25,31
26,31
27,31
28,31
29,31
30,31
31,32
31,33
31,34
31,35
31,36
31,37
31,38
31,39
31,40
21,32
22,32
23,32
24,32
25,32
26,32
27,32
28,32
29,32
30,32
31,32
32,33
32,34
32,35
32,36
32,37
32,38
32,39
32,40
21,33
22,33
23,33
24,33
25,33
26,33
27,33
28,33
29,33
30,33
31,33
32,33
33,34
33,35
33,36
33,37
33,38
33,39
33,40
21,34
22,34
23,34
24,34
25,34
26,34
27,34
28,34
29,34
30,34
31,34
32,34
33,34
34,35
34,36
34,37
34,38
34,39
34,40
21,35
22,35
23,35
24,35
25,35
26,35
27,35
28,35
29,35
30,35
31,35
32,35
33,35
34,35
35,36
35,37
35,38
35,39
35,40
21,36
22,36
23,36
24,36
25,36
26,36
27,36
28,36
29,36
30,36
31,36
32,36
33,36
34,36
35,36
36,37
36,38
36,39
36,40
21,37
22,37
23,37
24,37
25,37
26,37
27,37
28,37
29,37
30,37
31,37
32,37
33,37
34,37
35,37
36,37
37,38
37,39
37,40
21,38
22,38
23,38
24,38
25,38
26,38
27,38
28,38
29,38
30,38
31,38
32,38
33,38
34,38
35,38
36,38
37,38
38,39
38,40
21,39
22,39
23,39
24,39
25,39
26,39
27,39
28,39
29,39
30,39
31,39
32,39
33,39
34,39
35,39
36,39
37,39
38,39
39,40
21,40
22,40
23,40
24,40
25,40
26,40
27,40
28,40
29,40
30,40
31,40
32,40
33,40
34,40
